İstasyon,Fotoğraf,Hat(lar),Konum,Seviye,Açılış,Aktarma
Kirazlı#,,,Bağcılar,Yer altı,14 Haziran 2013,"M1ʙ ve M3 hatları arasında ücretsiz aktarma imkânı bulunmaktadır.

 (Kirazlı)"
Kirazlı#,,,Bağcılar,Yer altı,10 Eylül 2012,"M1ʙ ve M3 hatları arasında ücretsiz aktarma imkânı bulunmaktadır.

 (Kirazlı)"
Kocatepe,,・,Bayrampaşa,Hemzemin,3 Eylül 1989,—
Kozyatağı¤,,,Ataşehir,Yer altı,17 Ağustos 2012,—
Kozyatağı¤,,,Ataşehir,Yer altı,6 Ocak 2023,—
Kurtköy,,・,Pendik,Yer altı,2 Ekim 2022,—
Küçükbakkalköy,,,Ataşehir,Yer altı,6 Ocak 2023,—
Küçükyalı,,,Maltepe,Yer altı,17 Ağustos 2012,—
Levent#,,,Şişli & Beşiktaş,Yer altı,16 Eylül 2000,—
Levent#,,,Şişli & Beşiktaş,Yer altı,19 Nisan 2015,—
Mahmutbey#,,,Bağcılar,Yer altı,14 Haziran 2013,—
Mahmutbey#,,,Bağcılar,Yer altı,28 Ekim 2020,—
Maltepe,,,Maltepe,Yer altı,17 Ağustos 2012,—
MASKO,,,Başakşehir,Yer altı,29 Mayıs 2021,—
Menderes,,,Esenler,Yer altı,14 Haziran 2013,—
Merter¤,,,Güngören,Viyadük,31 Ocak 1994,(Merter)
Mevlana¤,,,Ataşehir,Yer altı,6 Ocak 2023,(Mevlana)
MODOKO - KEYAP,,,Ümraniye,Yer altı,6 Ocak 2023,—
Necip Fazıl,,,Ümraniye,Yer altı,21 Ekim 2018,—
Nispetiye,,,Beşiktaş,Yer altı,19 Nisan 2015,—
Nurtepe,,,Kâğıthane,Yer altı,28 Ekim 2020,—
Olimpiyat#,,,Başakşehir,Yer altı,22 Kasım 2013,(Olimpiyat)
Onurkent,,,Başakşehir,Yer altı,8 Nisan 2023,—
Osmanbey,,,Şişli,Yer altı,16 Eylül 2000,—
Otogar¤,,・,Bayrampaşa,Hemzemin,31 Ocak 1994,(Otogar)
Pendik,,,Pendik,Yer altı,10 Ekim 2016,—
Parseller†,,,Ümraniye,Yer altı,6 Ocak 2023,—
Sabiha Gökçen Havalimanı#,,・,Pendik,Yer altı,2 Ekim 2022,(Sabiha Gökçen Havalimanı)・ (Sabiha Gökçen Havalimanı)
Sağmalcılar,,・,Bayrampaşa,Hemzemin,3 Eylül 1989,—
Sanayi Mahallesi#,,,Kâğıthane,Yer altı,31 Ocak 2009,M2 Seyrantepe Şube Hattı'na aktarma imkânı bulunmaktadır.
Seyrantepe#,,,Sarıyer,Yer altı,11 Kasım 2010,(Aslantepe)・ (Seyrantepe)
Siteler,,,Başakşehir,Yer altı,14 Haziran 2013,—
Soğanlık,,,Kartal,Yer altı,17 Ağustos 2012,—
Şehir Hastanesi,,,Başakşehir,Yer altı,8 Nisan 2023,—
Şişhane - Zemin İstanbul¤,,,Beyoğlu,Yer altı,31 Ocak 2009,(Tünel)・ (Beyoğlu)・ (Şişhane)
Şişli - Mecidiyeköy¤,,,Şişli,Yer altı,16 Eylül 2000,"(Mecidiyeköy)
M2 ve M7 hatları arasında engelliler için cadde seviyesinde aktarma imkânı bulunmaktadır."
Şişli - Mecidiyeköy¤,,,Şişli,Yer altı,28 Ekim 2020,"(Mecidiyeköy)
M2 ve M7 hatları arasında engelliler için cadde seviyesinde aktarma imkânı bulunmaktadır."
Taksim#,,,Beyoğlu,Yer altı,16 Eylül 2000,・・ (Taksim)
Tavşantepe,,,Pendik,Yer altı,10 Ekim 2016,—
Terazidere,,,Esenler,Hemzemin,31 Ocak 1994,—
Topkapı - Ulubatlı¤,,・,Fatih,Yer altı,3 Eylül 1989,(Edirnekapı)・ (Vatan)
Toplu Konutlar,,,Başakşehir,Yer altı,8 Nisan 2023,—
Turgut Özal,,,Başakşehir,Yer altı,14 Haziran 2013,—
Üçyüzlü,,,Bağcılar & Güngören,Yer altı,14 Haziran 2013,—
Ümraniye¤,,,Ümraniye,Yer altı,15 Aralık 2017,(Ümraniye)
Ünalan¤,,,Üsküdar & Kadıköy,Yer altı,17 Ağustos 2012,(Ünalan)・ (Uzunçayır)
Üsküdar#,,,Üsküdar,Yer altı,15 Aralık 2017,(Üsküdar)・ (ŞH Üsküdar)
Veysel Karani - Akşemsettin,,,Eyüpsultan,Yer altı,28 Ekim 2020,—
Vezneciler - İstanbul Üniversitesi¤,,,Fatih,Yer altı,16 Mart 2014,(Vezneciler)・ (Laleli - İstanbul Üniversitesi)
Yakacık - Adnan Kahveci,,,Kartal,Yer altı,10 Ekim 2016,—
Yamanevler,,,Ümraniye,Yer altı,15 Aralık 2017,—
Yayalar - Şeyhli,,・,Pendik,Yer altı,2 Ekim 2022,—
Yenibosna¤,,,Bakırköy,Hemzemin,25 Ağustos 1995,(Yenibosna)・ (Yenibosna)
Yenikapı#,,・,Fatih,Yer altı,16 Mart 2014,(Yenikapı)・ (Yenikapı)・ (İDO Yenikapı)
Yenikapı#,,,Fatih,Yer altı,15 Şubat 2014,(Yenikapı)・ (Yenikapı)・ (İDO Yenikapı)
Yenimahalle,,,Bağcılar,Yer altı,7 Temmuz 2013,—
Yenimahalle,,,Gaziosmanpaşa,Yer altı,28 Ekim 2020,—
Yenisahra¤,,,Kadıköy,Yer altı,17 Ağustos 2012,(Yenisahra)
Yeşilpınar,,,Eyüpsultan,Yer altı,28 Ekim 2020,—
Oruç Reis,,,Bağcılar,Yer altı,28 Ekim 2020,—
Yıldız†,,,Beşiktaş,Yer altı,2 Ocak 2023,—
Zeytinburnu¤,,,Bakırköy,Hemzemin,31 Ocak 1994,・ (Zeytinburnu)
Ziya Gökalp Mahallesi,,,Başakşehir,Yer altı,14 Haziran 2013,—
